match_id,map_number,mode,map_name,away_team,home_team,away_score,home_score,map_winner,game_time_sec,data_source
2026_M1Q1S20_TOR_VGS,1,HP,Exposure,TOR,VGS,250,231,TOR,708,YT
2026_M1Q1S20_TOR_VGS,2,SND,Den,TOR,VGS,5,6,VGS,632,YT
2026_M1Q1S20_TOR_VGS,3,OVLD,Exposure,TOR,VGS,5,4,TOR,604,YT
2026_M1Q1S20_TOR_VGS,4,HP,Colossus,TOR,VGS,72,250,VGS,480,YT
2026_M1Q1S20_TOR_VGS,5,SND,Scar,TOR,VGS,4,6,VGS,645,YT
2026_M1Q1S21_RYD_MIN,1,HP,Colossus,RYD,MIN,234,250,MIN,704,YT
2026_M1Q1S21_RYD_MIN,2,SND,Exposure,RYD,MIN,6,4,RYD,683,YT
2026_M1Q1S21_RYD_MIN,3,OVLD,Den,RYD,MIN,2,1,RYD,627,YT
2026_M1Q1S21_RYD_MIN,4,HP,Den,RYD,MIN,249,250,MIN,698,YT
2026_M1Q1S21_RYD_MIN,5,SND,Colossus,RYD,MIN,6,3,RYD,525,YT
2026_M1Q1S22_MIA_CAR,1,HP,Blackheart,MIA,CAR,250,198,MIA,625,YT
2026_M1Q1S22_MIA_CAR,2,SND,Den,MIA,CAR,3,6,CAR,464,YT
2026_M1Q1S22_MIA_CAR,3,OVLD,Scar,MIA,CAR,3,4,CAR,600,YT
2026_M1Q1S22_MIA_CAR,4,HP,Exposure,CAR,MIA,250,216,CAR,751,YT
