match_id,map_number,mode,map_name,team,opponent,player_slot,player_name,map_winner,kills,deaths,assists,non_traded_kills,highest_streak,damage,hill_time_sec,avg_hill_time_sec,obj_kills,contested_hill_time_sec,kills_per_hill,dmg_per_hill,data_source,is_lan
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,RYD,LAT,4,KISMET,LAT,20,30,11.0,16.0,4.0,3027,83,6,6.0,11,1.66,247.33,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,LAT,RYD,5,SCRAP,LAT,29,26,16.0,23.0,5.0,4195,94,7,12.0,9,2.33,341.25,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,LAT,RYD,6,KENNY,LAT,27,27,14.0,18.0,4.0,3609,68,5,9.0,5,2.25,300.75,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,LAT,RYD,7,ABEZY,LAT,26,23,10.0,20.0,4.0,3186,99,8,10.0,9,2.08,257.16,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,LAT,RYD,8,HYDRA,LAT,30,25,5.0,17.0,3.0,3698,39,3,7.0,12,2.5,308.16,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,PAR,VGS,1,ENVOY,PAR,25,23,11.0,18.0,5.0,3176,60,6,8.0,11,2.55,342.33,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,PAR,VGS,2,NEPTUNE,PAR,27,19,14.0,18.0,4.0,3587,80,8,11.0,11,2.88,384.55,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,PAR,VGS,3,SIB,PAR,21,24,13.0,12.0,3.0,3050,34,3,6.0,2,2.22,318.44,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,PAR,VGS,4,GHOSTY,PAR,23,17,11.0,17.0,4.0,2672,133,14,15.0,10,2.11,255.33,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,VGS,PAR,5,SIMP,PAR,25,20,5.0,17.0,5.0,2920,60,6,10.0,14,2.77,324.44,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,VGS,PAR,6,04,PAR,20,29,9.0,11.0,3.0,2853,22,2,6.0,9,2.22,296.66,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,VGS,PAR,7,DRAZAH,PAR,22,22,9.0,15.0,3.0,2672,29,3,11.0,3,2.22,278.66,YT,0
2026_M1Q1S8_PAR_VGS,1,HP,Den,VGS,PAR,8,ABUZAH,PAR,16,25,14.0,9.0,4.0,2908,57,6,6.0,7,1.66,313.11,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,PAR,VGS,1,ENVOY,PAR,26,14,6.0,17.0,6.0,3351,14,1,9.0,3,3.12,406.37,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,PAR,VGS,2,NEPTUNE,PAR,24,17,6.0,17.0,4.0,2527,51,5,5.0,8,2.25,253.62,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,PAR,VGS,3,SIB,PAR,16,18,9.0,10.0,3.0,2526,124,10,10.0,5,1.62,268.87,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,PAR,VGS,4,GHOSTY,PAR,23,17,7.0,20.0,4.0,3079,125,13,15.0,6,2.62,340.37,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,VGS,PAR,5,SIMP,PAR,16,20,14.0,11.0,4.0,2788,56,7,5.0,5,1.87,322.25,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,VGS,PAR,6,04,PAR,27,23,5.0,20.0,4.0,2845,48,6,16.0,6,3.25,342.37,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,VGS,PAR,7,DRAZAH,PAR,9,25,5.0,8.0,2.0,1905,13,1,5.0,2,1.12,219.12,YT,0
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,VGS,PAR,8,ABUZAH,PAR,13,21,12.0,8.0,3.0,2463,28,3,6.0,6,1.5,288.12,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,TX,MIN,1,HUKE,MIN,21,30,9.0,14.0,3.0,3186,33,3,5.0,3,2.0,291.79,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,TX,MIN,2,SHOTZZY,MIN,19,31,7.0,12.0,4.0,2630,32,3,8.0,4,1.7,242.9,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,TX,MIN,3,MERCULES,MIN,25,30,10.0,15.0,5.0,3018,73,7,10.0,4,2.4,296.1,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,TX,MIN,4,DASHY,MIN,26,29,10.0,19.0,3.0,3894,69,6,10.0,5,2.6,372.5,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,MIN,TX,5,MAMBA,MIN,34,24,9.0,25.0,6.0,4433,20,2,5.0,3,3.3,425.7,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,MIN,TX,6,SKYZ,MIN,30,20,12.0,26.0,4.0,3409,92,9,9.0,4,3.0,332.9,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,MIN,TX,7,ESTREAL,MIN,23,21,10.0,16.0,3.0,2832,89,8,8.0,5,2.09,263.1,YT,0
2026_M1Q1S9_TX_MIN,1,HP,Scar,MIN,TX,8,KREMP,MIN,33,26,11.0,28.0,4.0,4013,58,4,11.0,4,2.9,366.5,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,TX,MIN,1,HUKE,TX,23,17,10.0,14.0,3.0,2859,43,4,2.0,6,2.75,328.62,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,TX,MIN,2,SHOTZZY,TX,19,15,12.0,15.0,3.0,2437,105,12,7.0,6,2.12,269.87,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,TX,MIN,3,MERCULES,TX,21,16,13.0,17.0,5.0,3092,65,7,7.0,3,2.12,334.5,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,TX,MIN,4,DASHY,TX,27,13,5.0,23.0,7.0,2872,96,12,11.0,9,3.12,353.37,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,MIN,TX,5,MAMBA,TX,14,23,5.0,9.0,3.0,1876,33,2,2.0,1,1.75,234.5,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,MIN,TX,6,SKYZ,TX,10,25,5.0,3.0,2.0,2199,48,5,2.0,8,1.25,262.87,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,MIN,TX,7,ESTREAL,TX,20,19,6.0,13.0,3.0,2694,52,4,6.0,11,2.12,289.5,YT,0
2026_M1Q1S9_TX_MIN,4,HP,Exposure,MIN,TX,8,KREMP,TX,17,23,5.0,6.0,4.0,2040,17,0,4.0,4,2.0,239.87,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,RYD,CAR,1,CELLIUM,RYD,33,19,4.0,26.0,4.0,3492,116,11,14.0,8,3.22,328.11,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,RYD,CAR,2,PRED,RYD,21,24,7.0,16.0,4.0,2969,42,4,11.0,10,2.11,302.44,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,RYD,CAR,3,EXNID,RYD,24,26,8.0,16.0,6.0,3040,77,8,11.0,7,2.44,300.77,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,RYD,CAR,4,KISMET,RYD,27,21,10.0,21.0,4.0,3403,46,4,4.0,4,2.55,338.55,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,CAR,RYD,5,SLASHER,RYD,20,20,13.0,15.0,4.0,3154,58,4,8.0,6,2.11,323.0,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,CAR,RYD,6,NERO,RYD,29,30,8.0,15.0,3.0,3801,49,3,7.0,7,3.0,411.22,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,CAR,RYD,7,CRAZE,RYD,19,25,9.0,13.0,4.0,2388,69,7,7.0,7,1.88,228.88,YT,0
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,CAR,RYD,8,LURQXX,RYD,22,30,5.0,14.0,2.0,3568,37,4,5.0,8,2.11,347.55,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,MIN,BOS,1,MAMBA,MIN,36,32,8.0,26.0,3.0,4520,28,2,9.0,9,2.83,360.75,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,MIN,BOS,2,SKYZ,MIN,29,27,17.0,23.0,7.0,4176,107,8,16.0,8,2.33,342.33,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,MIN,BOS,3,ESTREAL,MIN,32,30,14.0,22.0,6.0,4178,94,7,14.0,27,2.58,333.83,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,MIN,BOS,4,KREMP,MIN,31,30,13.0,20.0,4.0,4203,76,6,11.0,10,2.33,323.08,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,BOS,MIN,5,PURJ,MIN,30,34,13.0,22.0,5.0,4180,53,4,12.0,17,2.5,339.66,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,BOS,MIN,6,CAMMY,MIN,26,35,12.0,12.0,2.0,3473,101,8,14.0,9,2.08,274.25,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,BOS,MIN,7,SNOOPY,MIN,34,30,13.0,22.0,7.0,4055,78,6,10.0,20,2.58,319.41,YT,0
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,BOS,MIN,8,NASTIE,MIN,29,29,15.0,21.0,4.0,3844,98,7,13.0,6,2.25,303.66,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,MIN,BOS,1,PURJ,BOS,28,23,14.0,16.0,4.0,3838,94,10,13.0,8,3.0,413.66,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,MIN,BOS,2,CAMMY,BOS,29,25,9.0,18.0,5.0,3582,79,6,13.0,9,2.88,364.66,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,MIN,BOS,3,SNOOPY,BOS,19,21,9.0,13.0,3.0,2388,56,6,3.0,8,1.88,243.11,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,MIN,BOS,4,NASTIE,BOS,35,23,12.0,24.0,5.0,3872,31,3,7.0,2,3.66,402.0,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,BOS,MIN,5,SKYZ,BOS,23,29,12.0,12.0,4.0,3154,24,2,7.0,5,2.44,328.88,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,BOS,MIN,6,ESTREAL,BOS,17,28,9.0,10.0,2.0,2660,38,3,7.0,9,1.88,287.44,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,BOS,MIN,7,KREMP,BOS,30,26,11.0,16.0,7.0,3423,75,8,13.0,14,3.33,370.22,YT,0
2026_M1Q1S11_MIN_BOS,4,HP,Scar,BOS,MIN,8,MAMBA,BOS,22,28,,,,3005,,,,,,,BP,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,VAN,TOR,1,LQGEND,TOR,20,28,6.0,14.0,3.0,2519,22,2,10.0,11,2.12,284.5,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,VAN,TOR,2,ABE,TOR,18,25,7.0,9.0,2.0,2886,32,3,8.0,7,1.87,312.62,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,VAN,TOR,3,LUNARZ,TOR,17,28,9.0,8.0,2.0,2521,26,2,7.0,6,2.0,287.62,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,VAN,TOR,4,GWINN,TOR,23,27,5.0,15.0,5.0,2847,59,7,13.0,5,2.87,352.62,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,TOR,VAN,5,JOEDECEIVES,TOR,34,19,12.0,21.0,6.0,4005,78,9,12.0,14,4.12,471.87,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,TOR,VAN,6,REEAL,TOR,25,20,6.0,19.0,5.0,2790,58,7,10.0,3,2.62,307.12,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,TOR,VAN,7,INSIGHT,TOR,22,19,6.0,19.0,4.0,3071,123,14,9.0,11,2.25,341.5,YT,0
2026_M1Q1S12_VAN_TOR,1,HP,Colossus,TOR,VAN,8,CLEANX,TOR,27,20,13.0,21.0,5.0,3331,60,6,9.0,7,3.0,375.12,YT,0
2026_M1Q1S13_PAR_LAT,1,HP,Den,PAR,LAT,1,ENVOY,PAR,19,26,14.0,12.0,3.0,2750,66,7,8.0,6,2.11,305.55,YT,0
